track Name,artists,track_id,popularity,duration_ms,explicit,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,time_signature
La mer (Beyond the Sea),Charles Trenet,7a8ToGkxcURyv5fhakNhU8,0,201271,False,chanson,0.342,0.228,9,-12.211,0,0.0359,0.935,0.00248,0.114,0.354,84.753,audio_features,7a8ToGkxcURyv5fhakNhU8,spotify:track:7a8ToGkxcURyv5fhakNhU8,https://api.spotify.com/v1/tracks/7a8ToGkxcURyv5fhakNhU8,https://api.spotify.com/v1/audio-analysis/7a8ToGkxcURyv5fhakNhU8,3
Crying in the Chapel,The Orioles,7tTNeZgXPfPIMo3v81oDxq,0,184907,False,rhythm and blues,0.278,0.114,1,-16.452,1,0.0406,0.913,0,0.158,0.509,175.474,audio_features,7tTNeZgXPfPIMo3v81oDxq,spotify:track:7tTNeZgXPfPIMo3v81oDxq,https://api.spotify.com/v1/tracks/7tTNeZgXPfPIMo3v81oDxq,https://api.spotify.com/v1/audio-analysis/7tTNeZgXPfPIMo3v81oDxq,3
Fever,Peggy Lee,2CeqxyOZEyiL6pTDYZ9gPH,54,201333,False,adult standards,0.742,0.0899,9,-19.187,0,0.158,0.0906,0,0.113,0.351,137.473,audio_features,2CeqxyOZEyiL6pTDYZ9gPH,spotify:track:2CeqxyOZEyiL6pTDYZ9gPH,https://api.spotify.com/v1/tracks/2CeqxyOZEyiL6pTDYZ9gPH,https://api.spotify.com/v1/audio-analysis/2CeqxyOZEyiL6pTDYZ9gPH,4
She's Leaving Home - Remastered,The Beatles,1Ipl1kvks5s6GKn6oqgzeY,0,215160,False,british invasion,0.381,0.214,4,-11.629,1,0.0337,0.944,0,0.106,0.393,127.581,audio_features,1Ipl1kvks5s6GKn6oqgzeY,spotify:track:1Ipl1kvks5s6GKn6oqgzeY,https://api.spotify.com/v1/tracks/1Ipl1kvks5s6GKn6oqgzeY,https://api.spotify.com/v1/audio-analysis/1Ipl1kvks5s6GKn6oqgzeY,3
Let's Go Crazy,Prince,0QeI79sp1vS8L3JgpEO7mD,15,280000,False,funk,0.309,0.93,11,-6.399,1,0.125,0.0192,0.0022,0.106,0.376,195.815,audio_features,0QeI79sp1vS8L3JgpEO7mD,spotify:track:0QeI79sp1vS8L3JgpEO7mD,https://api.spotify.com/v1/tracks/0QeI79sp1vS8L3JgpEO7mD,https://api.spotify.com/v1/audio-analysis/0QeI79sp1vS8L3JgpEO7mD,4
Wanna Be Startin' Somethin',Michael Jackson,1uCbb7fkxRUrQAvCQgmSHo,38,362387,False,r&b,0.848,0.922,6,-4.203,0,0.0426,0.0209,0.361,0.058,0.884,122.224,audio_features,1uCbb7fkxRUrQAvCQgmSHo,spotify:track:1uCbb7fkxRUrQAvCQgmSHo,https://api.spotify.com/v1/tracks/1uCbb7fkxRUrQAvCQgmSHo,https://api.spotify.com/v1/audio-analysis/1uCbb7fkxRUrQAvCQgmSHo,4
Pick Up,DJ Koze,5YzBL3vkQnp3JbeDRRSbSQ,48,398151,False,electronica,0.712,0.601,5,-8.968,1,0.062,1.09e-05,0.802,0.0982,0.513,124.912,audio_features,5YzBL3vkQnp3JbeDRRSbSQ,spotify:track:5YzBL3vkQnp3JbeDRRSbSQ,https://api.spotify.com/v1/tracks/5YzBL3vkQnp3JbeDRRSbSQ,https://api.spotify.com/v1/audio-analysis/5YzBL3vkQnp3JbeDRRSbSQ,4
Rocks Off,The Rolling Stones,7hjeKMQBAXgskPJrXwPXgr,0,271933,True,album rock,0.485,0.943,4,-4.423,1,0.0416,0.0639,0.179,0.144,0.889,141.982,audio_features,7hjeKMQBAXgskPJrXwPXgr,spotify:track:7hjeKMQBAXgskPJrXwPXgr,https://api.spotify.com/v1/tracks/7hjeKMQBAXgskPJrXwPXgr,https://api.spotify.com/v1/audio-analysis/7hjeKMQBAXgskPJrXwPXgr,4
Downtown,Petula Clark,4AK7JaKbg3LLVszqndBXOF,0,185400,False,adult standards,0.481,0.589,4,-10.471,1,0.0461,0.81,0,0.249,0.666,117.699,audio_features,4AK7JaKbg3LLVszqndBXOF,spotify:track:4AK7JaKbg3LLVszqndBXOF,https://api.spotify.com/v1/tracks/4AK7JaKbg3LLVszqndBXOF,https://api.spotify.com/v1/audio-analysis/4AK7JaKbg3LLVszqndBXOF,4
Every Single Night,Fiona Apple,23B1awnmd30YfsPSYsfrUf,0,209387,False,art pop,0.687,0.195,0,-12.612,1,0.0603,0.859,0,0.226,0.402,125.949,audio_features,23B1awnmd30YfsPSYsfrUf,spotify:track:23B1awnmd30YfsPSYsfrUf,https://api.spotify.com/v1/tracks/23B1awnmd30YfsPSYsfrUf,https://api.spotify.com/v1/audio-analysis/23B1awnmd30YfsPSYsfrUf,4
